nombre,tipo,PS,ATAQUE,DEFENSA,VELOCIDAD,ATAQUEESPECIAL,DEFENSAESPECIAL
Charizard,FUEGO,360,293,280,328,348,295
Blastoise,AGUA,362,291,328,280,295,339
Venusaur,PLANTA,364,289,291,284,328,328
Gengar,FANTASMA,324,251,203,350,394,273
Dragonite,DRAGON,386,403,317,284,317,306
Togetic,HADA,314,196,255,196,284,339
Tyranitar,ROCA,404,403,394,243,317,328
Gardevoir,PSIQUICO,340,251,251,284,383,361
Snorlax,NORMAL,524,350,251,174,251,350
Metagross,ACERO,364,405,394,262,317,306
Donphan,TIERRA,384,372,372,218,240,240
Machamp,LUCHA,384,394,284,229,251,284
Delibird,HIELO,294,229,207,273,251,207
Raichu,ELECTRICO,324,306,229,350,306,284
